method	gene	split	cohort	n	called	correct	accuracy_all	call_rate	accuracy_called	unseen_alleles	majority_accuracy
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	APR	105	105	104	0.9904761904761905	1.0	0.9904761904761905	0	0.10476190476190476
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	CPC-Chinese	114	114	112	0.9824561403508771	1.0	0.9824561403508771	2	0.30701754385964913
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	HPRC-EastAsian	70	70	70	1.0	1.0	1.0	0	0.22857142857142856
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	HPRC-Japanese	32	32	31	0.96875	1.0	0.96875	1	0.0625
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	HPRC-Rest	359	359	355	0.9888579387186629	1.0	0.9888579387186629	3	0.11420612813370473
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	JaSaPaGe-Japanese	10	10	10	1.0	1.0	1.0	0	0.1
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	JaSaPaGe-Saudi	18	18	18	1.0	1.0	1.0	0	0.1111111111111111
gene_flanks_31mer_fixed	HLA-DQB1	leave_family_out	KPanRef-Korean	27	27	27	1.0	1.0	1.0	0	0.07407407407407407
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	ALL	724	716	644	0.8895027624309392	0.988950276243094	0.8994413407821229	42	0.04834254143646409
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	APR	104	104	92	0.8846153846153846	1.0	0.8846153846153846	8	0.0
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	CPC-Chinese	103	100	97	0.941747572815534	0.970873786407767	0.97	2	0.06796116504854369
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	HPRC-EastAsian	70	69	65	0.9285714285714286	0.9857142857142858	0.9420289855072463	1	0.02857142857142857
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	HPRC-Japanese	32	32	32	1.0	1.0	1.0	0	0.03125
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	HPRC-Rest	360	356	303	0.8416666666666667	0.9888888888888889	0.851123595505618	31	0.05277777777777778
