gene	method	split	cohort	rarity	n	called	correct	accuracy_all	call_rate	accuracy_called	majority_accuracy
HLA-A	coding_sequence	leave_family_out	HPRC-Japanese	ALL	32	25	25	0.78125	0.78125	1.0	0.0625
HLA-A	coding_sequence	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	0.0
HLA-A	coding_sequence	leave_family_out	HPRC-Rest	ALL	360	253	247	0.6861111111111111	0.7027777777777777	0.9762845849802372	0.15555555555555556
HLA-A	coding_sequence	leave_family_out	JaSaPaGe-Japanese	ALL	10	9	9	0.9	0.9	1.0	0.0
HLA-A	coding_sequence	leave_family_out	JaSaPaGe-Saudi	ALL	17	14	13	0.7647058823529411	0.8235294117647058	0.9285714285714286	0.0
HLA-A	coding_sequence	leave_family_out	KPanRef-Korean	ALL	26	18	18	0.6923076923076923	0.6923076923076923	1.0	0.11538461538461539
HLA-A	coding_sequence_all_31mers	leave_cohort_out	ALL	ALL	726	724	701	0.9655647382920111	0.9972451790633609	0.9682320441988951	0.0674931129476584
HLA-A	coding_sequence_all_31mers	leave_cohort_out	ALL	more_than_5_donors	577	577	577	1.0	1.0	1.0	0.08492201039861352
HLA-A	coding_sequence_all_31mers	leave_cohort_out	ALL	rare_1_to_5_donors	124	124	124	1.0	1.0	1.0	0.0
HLA-A	coding_sequence_all_31mers	leave_cohort_out	ALL	unseen	25	23	0	0.0	0.92	0.0	0.0
HLA-A	coding_sequence_all_31mers	leave_cohort_out	APR	ALL	105	105	101	0.9619047619047619	1.0	0.9619047619047619	0.11428571428571428
HLA-A	coding_sequence_all_31mers	leave_cohort_out	CPC-Chinese	ALL	104	104	102	0.9807692307692307	1.0	0.9807692307692307	0.11538461538461539
HLA-A	coding_sequence_all_31mers	leave_cohort_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.1
HLA-A	coding_sequence_all_31mers	leave_cohort_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.0625
HLA-A	coding_sequence_all_31mers	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	0.0
HLA-A	coding_sequence_all_31mers	leave_cohort_out	HPRC-Rest	ALL	360	358	344	0.9555555555555556	0.9944444444444445	0.9608938547486033	0.03611111111111111
HLA-A	coding_sequence_all_31mers	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	10	8	0.8	1.0	0.8	0.0
HLA-A	coding_sequence_all_31mers	leave_cohort_out	JaSaPaGe-Saudi	ALL	17	17	16	0.9411764705882353	1.0	0.9411764705882353	0.0
HLA-A	coding_sequence_all_31mers	leave_cohort_out	KPanRef-Korean	ALL	26	26	26	1.0	1.0	1.0	0.11538461538461539
HLA-A	coding_sequence_all_31mers	leave_family_out	ALL	ALL	726	725	713	0.9820936639118457	0.9986225895316805	0.983448275862069	0.12672176308539945
HLA-A	coding_sequence_all_31mers	leave_family_out	ALL	more_than_5_donors	670	670	670	1.0	1.0	1.0	0.1373134328358209
HLA-A	coding_sequence_all_31mers	leave_family_out	ALL	rare_1_to_5_donors	43	43	43	1.0	1.0	1.0	0.0
HLA-A	coding_sequence_all_31mers	leave_family_out	ALL	unseen	13	12	0	0.0	0.9230769230769231	0.0	0.0
HLA-A	coding_sequence_all_31mers	leave_family_out	APR	ALL	105	105	103	0.9809523809523809	1.0	0.9809523809523809	0.11428571428571428
HLA-A	coding_sequence_all_31mers	leave_family_out	CPC-Chinese	ALL	104	104	102	0.9807692307692307	1.0	0.9807692307692307	0.11538461538461539
HLA-A	coding_sequence_all_31mers	leave_family_out	HPRC-EastAsian	ALL	70	70	70	1.0	1.0	1.0	0.1
HLA-A	coding_sequence_all_31mers	leave_family_out	HPRC-Japanese	ALL	32	32	32	1.0	1.0	1.0	0.0625
HLA-A	coding_sequence_all_31mers	leave_family_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	0.0
HLA-A	coding_sequence_all_31mers	leave_family_out	HPRC-Rest	ALL	360	359	352	0.9777777777777777	0.9972222222222222	0.9805013927576601	0.15555555555555556
HLA-A	coding_sequence_all_31mers	leave_family_out	JaSaPaGe-Japanese	ALL	10	10	10	1.0	1.0	1.0	0.0
HLA-A	coding_sequence_all_31mers	leave_family_out	JaSaPaGe-Saudi	ALL	17	17	16	0.9411764705882353	1.0	0.9411764705882353	0.0
HLA-A	coding_sequence_all_31mers	leave_family_out	KPanRef-Korean	ALL	26	26	26	1.0	1.0	1.0	0.11538461538461539
HLA-A	flanks_only	leave_cohort_out	ALL	ALL	726	190	169	0.2327823691460055	0.26170798898071623	0.8894736842105263	0.0674931129476584
HLA-A	flanks_only	leave_cohort_out	ALL	more_than_5_donors	577	94	87	0.15077989601386482	0.16291161178509533	0.925531914893617	0.08492201039861352
HLA-A	flanks_only	leave_cohort_out	ALL	rare_1_to_5_donors	124	82	82	0.6612903225806451	0.6612903225806451	1.0	0.0
HLA-A	flanks_only	leave_cohort_out	ALL	unseen	25	14	0	0.0	0.56	0.0	0.0
HLA-A	flanks_only	leave_cohort_out	APR	ALL	105	37	33	0.3142857142857143	0.3523809523809524	0.8918918918918919	0.11428571428571428
HLA-A	flanks_only	leave_cohort_out	CPC-Chinese	ALL	104	16	12	0.11538461538461539	0.15384615384615385	0.75	0.11538461538461539
HLA-A	flanks_only	leave_cohort_out	HPRC-EastAsian	ALL	70	4	4	0.05714285714285714	0.05714285714285714	1.0	0.1
HLA-A	flanks_only	leave_cohort_out	HPRC-Japanese	ALL	32	2	2	0.0625	0.0625	1.0	0.0625
HLA-A	flanks_only	leave_cohort_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		0.0
HLA-A	flanks_only	leave_cohort_out	HPRC-Rest	ALL	360	122	109	0.30277777777777776	0.3388888888888889	0.8934426229508197	0.03611111111111111
HLA-A	flanks_only	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	0	0	0.0	0.0		0.0
HLA-A	flanks_only	leave_cohort_out	JaSaPaGe-Saudi	ALL	17	5	5	0.29411764705882354	0.29411764705882354	1.0	0.0
HLA-A	flanks_only	leave_cohort_out	KPanRef-Korean	ALL	26	4	4	0.15384615384615385	0.15384615384615385	1.0	0.11538461538461539
HLA-A	flanks_only	leave_family_out	ALL	ALL	726	187	174	0.2396694214876033	0.25757575757575757	0.93048128342246	0.12672176308539945
HLA-A	flanks_only	leave_family_out	ALL	more_than_5_donors	670	164	159	0.2373134328358209	0.24477611940298508	0.9695121951219512	0.1373134328358209
